code|stationName|lat|lon
101|Van Cortlandt Park - 242 St|40.889248|-73.89858
103|238 St|40.884666|-73.90087
104|231 St|40.878857|-73.90483
106|Marble Hill - 225 St|40.87456|-73.90983
107|215 St|40.869446|-73.915276
108|207 St|40.86462|-73.91882
109|Dyckman St|40.86053|-73.92554
110|191 St|40.855225|-73.92941
111|181 St|40.849506|-73.93359
112|168 St - Washington Hts|40.840557|-73.94013
113|157 St|40.83404|-73.94489
114|145 St|40.82655|-73.95036
115|137 St - City College|40.822006|-73.953674
116|125 St|40.815582|-73.958374
117|116 St - Columbia University|40.80772|-73.96411
118|Cathedral Pkwy|40.803967|-73.96685
119|103 St|40.799446|-73.968376
120|96 St|40.79392|-73.97232
121|86 St|40.788643|-73.97622
122|79 St|40.783936|-73.97992
123|72 St|40.778454|-73.98197
124|66 St - Lincoln Center|40.77344|-73.98221
125|59 St - Columbus Circle|40.768246|-73.981926
126|50 St|40.761726|-73.98385
127|Times Sq - 42 St|40.75529|-73.987495
128|34 St - Penn Station|40.750374|-73.99106
129|28 St|40.747215|-73.99336
130|23 St|40.74408|-73.99566
131|18 St|40.74104|-73.99787
132|14 St|40.737827|-74.0002
133|Christopher St - Sheridan Sq|40.73342|-74.00291
134|Houston St|40.728252|-74.00536
135|Canal St|40.722855|-74.00628
136|Franklin St|40.71932|-74.00689
137|Chambers St|40.715477|-74.00927
138|Cortlandt St|40.711834|-74.01219
139|Rector St|40.70751|-74.01379
140|South Ferry Loop|40.701412|-74.01321
142|South Ferry|40.70207|-74.013664
201|Wakefield - 241 St|40.903126|-73.85062
204|Nereid Av|40.89838|-73.85438
205|233 St|40.893192|-73.857475
206|225 St|40.888023|-73.860344
207|219 St|40.883896|-73.86263
208|Gun Hill Rd|40.87785|-73.86626
209|Burke Av|40.871357|-73.867165
210|Allerton Av|40.865463|-73.867355
211|Pelham Pkwy|40.857193|-73.867615
212|Bronx Park East|40.848827|-73.868454
213|E 180 St|40.841892|-73.87349
214|West Farms Sq - E Tremont Av|40.840294|-73.88005
215|174 St|40.837288|-73.88773
216|Freeman St|40.829994|-73.89187
217|Simpson St|40.824074|-73.89307
218|Intervale Av|40.82218|-73.896736
219|Prospect Av|40.819584|-73.90177
220|Jackson Av|40.81649|-73.90781
